model,metric,repro,published,delta
Logistic Regression,AUROC,0.7137046307884856,0.714,-0.00029536921151440687
Logistic Regression,AUPRC,0.43707604474904926,0.437,7.604474904926439e-05
Logistic Regression,Accuracy,0.6751152073732719,0.675,0.00011520737327186392
Logistic Regression,Brier,0.2090743427954385,0.209,7.434279543849787e-05
Random Forest,AUROC,0.7655585106382978,0.766,-0.00044148936170218533
Random Forest,AUPRC,0.47009679196989906,0.47,9.679196989909045e-05
Random Forest,Accuracy,0.7580645161290323,0.758,6.45161290322438e-05
Random Forest,Brier,0.17918168385548897,0.179,0.00018168385548897326
Gradient Boosting,AUROC,0.7570830725907384,0.757,8.307259073836448e-05
Gradient Boosting,AUPRC,0.47866413756052345,0.479,-0.00033586243947653083
Gradient Boosting,Accuracy,0.804147465437788,0.804,0.00014746543778798582
Gradient Boosting,Brier,0.14419087421117324,0.144,0.0001908742111732531
SVM,AUROC,0.7424827909887358,0.742,0.00048279098873582615
SVM,AUPRC,0.44697148204597503,0.447,-2.851795402497581e-05
SVM,Accuracy,0.7211981566820277,0.721,0.00019815668202771697
SVM,Brier,0.1457772904346924,0.146,-0.0002227095653075939
