care_unit,n,positive_rate,AUROC_mean,AUROC_lo,AUROC_hi
(pooled),4387,0.22885798951447459,0.7769490174095225,0.776327928015988,0.7774298755318659
Trauma SICU (TSICU),313,0.22364217252396165,0.8018930041152265,0.7966901822457378,0.8076778365667255
Surgical Intensive Care Unit (SICU),1043,0.4678811121764142,0.7478182690887609,0.7460111135725891,0.7505649091714666
Medical/Surgical Intensive Care Unit (MICU/SICU),695,0.08633093525179857,0.6050183727034119,0.5937086614173228,0.6192178477690287
Neuro Stepdown,161,0.6956521739130435,0.5751093294460642,0.5637755102040817,0.5822704081632654
Coronary Care Unit (CCU),360,0.08333333333333333,0.5512929292929293,0.5446565656565656,0.5588282828282828
Medical Intensive Care Unit (MICU),1303,0.08135072908672294,0.5435317854384388,0.5389479989281379,0.5457700855913369
Neuro Surgical Intensive Care Unit (Neuro SICU),61,0.4918032786885246,0.5376344086021505,0.5177419354838709,0.5546236559139784
Cardiac Vascular Intensive Care Unit (CVICU),280,0.025,0.5084249084249084,0.48681318681318675,0.5462585034013605
Neuro Intermediate,171,0.5906432748538012,0.5015275813295614,0.4894766619519094,0.5087977369165488
